fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.9,0.63,0.28,4.7,0.06,13.0,97.0,0.9985,3.31,0.82,10.9,6
7.6,0.23,0.16,8.8,0.1,36.0,127.0,0.9932,3.42,0.65,9.1,6
4.0,0.48,0.25,7.5,0.013,35.0,28.0,0.9964,3.18,0.52,10.0,5
4.9,0.58,0.19,5.2,0.121,16.0,178.0,1.0007,3.14,0.43,9.5,5
6.9,0.22,0.21,0.6,0.033,8.0,158.0,0.9984,3.35,0.37,9.1,5
7.4,0.23,0.3,6.9,0.077,48.0,221.0,0.9913,3.26,0.66,10.5,7
6.8,0.61,0.58,8.0,0.01,35.0,120.0,0.993,3.19,0.49,8.5,6
5.0,0.24,0.2,6.9,0.132,37.0,60.0,1.0008,2.95,0.58,12.3,4
6.2,0.12,0.57,7.8,0.019,55.0,200.0,0.993,2.94,0.74,10.2,6
7.6,0.61,0.44,3.0,0.063,29.0,101.0,0.9995,2.91,0.37,11.7,5
7.9,0.56,0.37,27.4,0.037,36.0,6.0,0.9934,3.28,0.43,13.7,5
7.2,0.4,0.43,8.0,0.054,37.0,144.0,0.9941,3.05,0.61,9.7,6
8.8,0.3,0.33,4.7,0.06,38.0,169.0,0.9919,2.94,0.51,11.3,7
7.9,0.23,0.52,14.7,0.045,6.0,185.0,0.9925,3.08,0.52,11.4,7
6.2,0.41,0.4,12.9,0.032,30.0,65.0,0.9941,2.92,0.65,8.7,5
6.9,0.59,0.07,9.1,0.054,51.0,145.0,0.9953,3.12,0.64,11.6,6
5.4,0.37,0.37,4.5,0.054,28.0,148.0,0.9935,3.11,0.48,12.2,6
7.2,0.65,0.45,4.0,0.067,23.0,151.0,0.9968,3.3,0.46,10.3,7
8.6,0.22,0.27,2.2,0.073,47.0,82.0,0.9935,3.25,0.51,10.8,5
8.1,0.33,0.34,1.6,0.084,31.0,136.0,0.9885,3.14,0.7,10.7,6
9.0,0.3,0.22,3.9,0.076,19.0,179.0,0.9941,3.33,0.28,10.0,5
6.7,0.19,0.11,4.7,0.061,15.0,9.0,0.9933,3.02,0.51,11.5,5
9.1,0.28,0.1,1.5,0.047,30.0,115.0,0.9992,3.14,0.64,10.0,7
7.1,0.37,0.1,13.8,0.01,19.0,172.0,0.9974,3.09,0.45,10.4,7
9.2,0.42,0.42,4.4,0.061,47.0,207.0,0.9977,3.21,0.33,8.9,6
7.3,0.65,0.0,4.0,0.094,18.0,203.0,0.9968,2.89,0.38,10.3,7
8.2,0.41,0.22,3.1,0.029,36.0,169.0,0.996,3.59,0.58,11.7,6
9.1,0.55,0.2,0.6,0.033,38.0,221.0,0.996,3.28,0.51,10.1,5
7.0,0.35,0.28,11.6,0.102,42.0,171.0,0.9975,3.28,0.25,9.8,6
7.6,0.57,0.05,2.1,0.113,59.0,6.0,0.9964,2.89,0.47,8.6,7
8.9,0.72,0.38,5.6,0.027,7.0,90.0,0.9931,3.26,0.72,8.7,6
7.2,0.39,0.14,5.0,0.145,42.0,196.0,0.9905,3.18,0.53,9.2,7
5.3,0.24,0.47,4.7,0.071,41.0,87.0,0.989,3.4,0.6,10.0,4
10.1,0.22,0.24,4.0,0.088,12.0,189.0,0.9922,3.17,0.53,13.0,7
6.6,0.38,0.31,1.1,0.044,35.0,159.0,0.9925,3.16,0.65,11.3,6
7.4,0.41,0.32,1.8,0.065,23.0,222.0,0.9944,3.21,0.62,10.4,6
8.7,0.45,0.36,4.0,0.071,55.0,91.0,0.9943,3.44,0.53,11.5,6
6.2,0.47,0.31,8.4,0.025,20.0,12.0,0.9999,2.97,0.38,9.3,4
5.9,0.34,0.26,3.1,0.114,27.0,104.0,0.9964,2.94,0.6,8.0,6
7.6,0.23,0.37,1.2,0.055,24.0,35.0,0.9925,2.86,0.32,11.4,6
5.0,0.37,0.4,0.6,0.038,16.0,90.0,0.9988,3.39,0.62,11.9,7
6.8,0.66,0.2,5.9,0.015,3.0,6.0,0.994,3.37,0.65,8.9,5
7.5,0.53,0.38,3.0,0.076,15.0,117.0,0.9964,3.03,0.45,10.4,5
6.8,0.45,0.49,0.7,0.065,33.0,140.0,0.9961,2.99,0.35,11.5,5
5.3,0.47,0.44,6.1,0.022,36.0,143.0,0.9948,3.37,0.69,9.2,7
9.3,0.28,0.46,1.3,0.061,45.0,172.0,0.9989,2.99,0.53,12.0,6
7.3,0.28,0.34,3.8,0.073,49.0,134.0,0.9929,3.17,0.5,11.3,5
9.1,0.21,0.18,2.0,0.042,38.0,79.0,0.9951,3.13,0.56,12.1,6
6.9,0.31,0.2,14.5,0.069,45.0,186.0,0.992,3.74,0.46,13.0,6
6.2,0.24,0.38,1.4,0.056,40.0,156.0,0.9958,3.19,0.31,9.8,7
7.5,0.56,0.45,2.9,0.048,11.0,112.0,0.9959,3.42,0.44,11.2,5
7.0,0.26,0.74,17.3,0.022,37.0,110.0,0.995,3.29,0.54,9.1,6
5.6,0.24,0.46,2.1,0.063,30.0,81.0,0.9949,3.14,0.53,9.5,5
9.0,0.68,0.14,5.6,0.01,20.0,189.0,0.9942,3.13,0.26,12.5,5
6.4,0.26,0.21,2.1,0.106,31.0,118.0,0.9958,3.23,0.49,11.4,6
4.8,0.36,0.66,0.6,0.098,37.0,166.0,0.9966,3.23,0.78,9.8,6
9.0,0.41,0.29,5.3,0.02,27.0,6.0,0.9911,3.14,0.54,9.5,6
6.6,0.15,0.33,13.4,0.01,48.0,124.0,0.9939,3.31,0.66,10.5,6
6.3,0.56,0.17,3.3,0.097,36.0,132.0,0.9936,3.23,0.61,9.3,5
4.8,0.47,0.55,5.3,0.05,46.0,50.0,0.9967,3.11,0.43,8.1,5
9.5,0.58,0.4,5.1,0.058,53.0,74.0,0.9983,3.16,0.44,10.4,6
5.5,0.26,0.2,2.9,0.057,23.0,158.0,0.996,3.3,0.58,8.7,5
7.3,0.35,0.17,5.2,0.01,23.0,150.0,0.9951,3.05,0.45,9.9,6
8.4,0.34,0.37,1.6,0.083,51.0,133.0,0.9924,3.05,0.7,12.6,6
7.9,0.35,0.34,2.6,0.072,17.0,189.0,1.0003,3.02,0.5,10.3,7
7.2,0.1,0.45,3.2,0.057,29.0,148.0,0.9919,3.16,0.66,8.8,6
5.0,0.35,0.4,10.8,0.01,22.0,195.0,0.9909,3.18,0.59,11.3,6
6.2,0.11,0.28,2.3,0.074,13.0,65.0,0.9969,3.04,0.6,10.7,6
7.3,0.45,0.22,5.4,0.069,38.0,129.0,0.9932,3.22,0.42,11.1,4
6.2,0.08,0.3,1.3,0.053,26.0,121.0,0.997,3.22,0.69,10.5,6
7.5,0.08,0.24,1.6,0.09,14.0,47.0,0.999,3.37,0.88,10.6,6
8.3,0.41,0.32,5.6,0.096,48.0,216.0,0.9939,3.36,0.41,11.5,8
8.5,0.25,0.32,7.8,0.068,7.0,90.0,0.9961,2.9,0.67,12.0,6
5.6,0.18,0.19,3.3,0.01,28.0,138.0,0.9934,3.27,0.53,9.2,6
10.1,0.54,0.42,2.2,0.012,46.0,88.0,0.9949,2.9,0.41,11.8,6
8.1,0.42,0.26,13.0,0.032,46.0,180.0,0.9943,3.31,0.36,10.5,5
7.3,0.44,0.21,0.8,0.047,39.0,101.0,0.9976,3.31,0.41,11.8,7
8.7,0.31,0.27,6.9,0.085,15.0,101.0,0.9931,3.06,0.42,9.1,6
10.4,0.73,0.37,6.3,0.068,34.0,117.0,0.9927,3.27,0.37,9.9,7
5.3,0.27,0.32,6.3,0.05,36.0,120.0,0.9941,3.05,0.69,8.3,5
7.0,0.58,0.4,14.8,0.078,23.0,85.0,0.9967,3.2,0.54,10.0,7
4.0,0.35,0.45,7.0,0.029,37.0,72.0,0.9923,3.23,0.58,10.0,5
7.5,0.08,0.52,1.9,0.078,4.0,85.0,0.9912,3.18,0.36,9.0,6
7.9,0.35,0.38,2.4,0.064,1.0,107.0,0.9982,3.34,0.73,10.3,8
7.1,0.41,0.15,2.7,0.074,19.0,131.0,0.988,3.09,0.44,10.6,5
6.3,0.2,0.27,0.6,0.086,42.0,93.0,0.9908,3.3,0.72,11.4,5
4.6,0.19,0.17,13.2,0.054,46.0,51.0,1.0012,3.02,0.6,10.4,6
7.6,0.36,0.57,0.6,0.01,7.0,47.0,0.9894,2.88,0.38,10.4,5
8.9,0.45,0.6,6.5,0.033,56.0,64.0,0.9934,2.95,0.57,9.7,4
6.5,0.08,0.42,7.1,0.083,32.0,134.0,0.9928,3.06,0.53,9.8,6
7.7,0.53,0.44,10.0,0.036,3.0,165.0,0.9878,3.32,0.38,9.8,5
5.2,0.26,0.36,4.4,0.033,36.0,53.0,0.9917,3.31,0.37,10.2,6
7.7,0.15,0.37,7.0,0.058,53.0,140.0,0.9955,3.18,0.64,11.1,5
6.8,0.46,0.09,1.9,0.094,23.0,137.0,0.997,2.89,0.72,12.0,7
6.1,0.36,0.3,7.4,0.072,47.0,219.0,0.998,3.51,0.37,10.3,5
6.2,0.53,0.19,2.3,0.117,56.0,247.0,0.9936,2.98,0.55,9.7,6
6.8,0.37,0.37,12.6,0.07,32.0,176.0,0.9892,3.28,0.32,8.3,7
7.6,0.36,0.3,1.0,0.069,17.0,155.0,0.9949,3.15,0.65,9.1,5
5.5,0.31,0.61,2.0,0.048,51.0,146.0,0.9988,3.28,0.54,10.9,6
6.8,0.38,0.47,3.7,0.01,52.0,74.0,0.9993,3.43,0.34,10.4,7
7.0,0.33,0.34,8.1,0.061,7.0,51.0,0.9976,3.25,0.44,9.6,4
5.8,0.2,0.28,7.5,0.057,29.0,28.0,0.9906,3.33,0.45,8.7,6
9.6,0.43,0.57,1.3,0.079,43.0,125.0,0.9941,3.71,0.4,10.1,6
6.2,0.28,0.33,0.8,0.067,45.0,73.0,0.9954,3.38,0.68,11.7,7
6.3,0.37,0.36,2.0,0.065,25.0,161.0,0.9959,2.96,0.4,8.1,5
5.9,0.54,0.32,3.6,0.096,13.0,52.0,0.9894,2.78,0.77,8.0,5
9.6,0.32,0.26,4.2,0.047,58.0,130.0,1.0009,3.31,0.66,9.0,6
8.0,0.34,0.33,3.0,0.085,32.0,73.0,0.9987,3.15,0.48,10.8,6
6.0,0.24,0.03,5.9,0.101,27.0,38.0,0.9947,3.35,0.87,9.4,6
8.7,0.4,0.09,3.0,0.037,20.0,70.0,0.9951,2.81,0.48,11.5,6
7.4,0.42,0.36,15.8,0.042,27.0,79.0,0.9932,3.41,0.31,11.4,5
7.6,0.48,0.56,1.6,0.029,3.0,115.0,0.9984,3.2,0.68,8.8,6
6.8,0.24,0.37,5.3,0.01,48.0,82.0,0.9912,3.55,0.4,11.5,6
6.2,0.29,0.2,5.1,0.121,25.0,63.0,0.995,3.22,0.71,11.3,5
7.8,0.43,0.12,1.8,0.167,1.0,70.0,0.9922,3.31,0.33,11.0,7
6.5,0.37,0.44,2.9,0.063,13.0,6.0,0.9946,3.16,0.4,10.2,6
9.5,0.22,0.23,2.5,0.044,47.0,94.0,0.9982,3.15,0.44,11.5,5
5.6,0.54,0.42,1.0,0.117,28.0,118.0,0.9928,3.27,0.62,12.5,6
9.1,0.09,0.37,3.5,0.077,16.0,92.0,0.9952,3.17,0.45,10.1,5
7.2,0.43,0.4,2.6,0.03,33.0,127.0,0.9943,3.13,0.46,11.1,7
7.7,0.1,0.34,1.1,0.025,26.0,170.0,0.9925,3.28,0.64,11.7,7
8.2,0.67,0.37,3.2,0.085,32.0,176.0,0.9928,3.13,0.7,12.4,5
6.5,0.08,0.31,3.0,0.069,37.0,171.0,0.9929,3.28,0.5,12.4,7
8.4,0.52,0.23,0.8,0.095,16.0,81.0,0.9893,2.97,0.38,9.9,6
4.0,0.29,0.19,0.8,0.081,21.0,63.0,0.9942,3.22,0.76,12.3,7
6.4,0.25,0.0,5.6,0.013,18.0,84.0,0.9949,3.19,0.52,8.4,7
6.0,0.36,0.29,6.6,0.029,18.0,150.0,0.9902,2.86,0.59,11.2,6
5.5,0.47,0.54,15.3,0.025,19.0,133.0,0.9933,3.02,0.45,13.6,5
6.9,0.22,0.42,0.6,0.064,25.0,73.0,0.994,2.81,0.46,8.7,5
7.6,0.23,0.35,0.7,0.052,19.0,177.0,0.9971,3.24,0.45,10.1,5
8.2,0.44,0.21,0.6,0.04,33.0,53.0,0.9999,3.09,0.66,10.0,6
7.6,0.08,0.47,4.1,0.045,25.0,86.0,0.9959,3.17,0.71,10.1,6
6.4,0.24,0.3,5.3,0.08,18.0,128.0,0.9906,3.43,0.45,11.7,6
7.8,0.79,0.57,2.8,0.05,1.0,163.0,0.9919,3.22,0.48,11.9,7
7.4,0.18,0.17,8.6,0.032,15.0,181.0,0.9949,3.27,0.72,11.4,6
8.6,0.49,0.22,6.3,0.01,25.0,133.0,0.9933,3.14,0.83,11.1,7
8.2,0.24,0.19,23.0,0.024,48.0,46.0,0.9946,3.1,0.62,11.5,6
7.5,0.36,0.12,0.8,0.093,30.0,176.0,0.9972,2.99,0.6,10.5,8
6.1,0.44,0.18,0.6,0.033,4.0,57.0,0.9942,3.34,0.82,11.3,6
6.3,0.55,0.33,1.7,0.119,32.0,89.0,1.002,3.47,0.56,10.9,5
6.4,0.33,0.2,0.6,0.078,22.0,60.0,0.99,3.41,0.56,9.4,5
6.8,0.65,0.0,14.6,0.027,41.0,111.0,0.9963,3.03,0.46,10.5,6
7.6,0.24,0.48,2.0,0.035,5.0,58.0,0.9897,3.42,0.64,10.7,6
8.2,0.37,0.07,4.3,0.01,52.0,142.0,0.9921,3.19,0.44,10.4,6
7.2,0.37,0.41,2.1,0.041,39.0,139.0,0.9972,3.46,0.47,9.9,6
7.3,0.16,0.33,1.5,0.124,27.0,158.0,0.9885,3.28,0.49,9.6,6
7.3,0.32,0.63,0.9,0.113,3.0,132.0,0.9956,3.27,0.61,9.1,5
6.5,0.39,0.46,2.1,0.112,4.0,128.0,0.991,3.27,0.48,10.0,5
5.9,0.3,0.24,5.2,0.077,42.0,60.0,0.9945,2.95,0.66,10.4,5
5.1,0.7,0.23,19.2,0.05,45.0,77.0,0.9928,3.02,0.4,12.7,7
6.3,0.2,0.55,4.4,0.059,49.0,110.0,0.9947,3.12,0.48,8.5,6
7.8,0.55,0.09,4.1,0.075,60.0,115.0,0.9959,3.16,0.54,11.2,5
6.3,0.47,0.35,0.6,0.055,44.0,97.0,0.9979,3.24,0.56,12.9,6
6.9,0.33,0.3,9.9,0.028,38.0,147.0,0.9951,3.15,0.64,8.2,6
7.7,0.23,0.26,0.6,0.053,72.0,247.0,0.9965,3.14,0.39,12.4,5
7.9,0.21,0.37,12.8,0.01,21.0,139.0,0.9945,3.42,0.54,12.5,6
5.8,0.25,0.35,4.2,0.077,29.0,78.0,0.9907,3.44,0.39,10.7,6
8.4,0.08,0.38,1.0,0.024,3.0,160.0,0.9913,3.32,0.62,10.0,5
8.7,0.17,0.34,3.2,0.076,42.0,80.0,0.9992,3.1,0.46,9.8,6
5.8,0.1,0.38,28.6,0.018,27.0,136.0,0.991,3.29,0.66,10.1,6
6.3,0.52,0.35,2.0,0.05,20.0,142.0,0.9953,3.42,0.55,10.6,7
8.9,0.4,0.23,1.7,0.066,20.0,129.0,0.9952,3.18,0.56,10.4,7
6.9,0.49,0.31,0.7,0.05,16.0,82.0,0.9951,3.43,0.92,9.7,5
4.3,0.46,0.2,4.9,0.078,27.0,120.0,0.9978,3.53,0.67,12.9,5
5.4,0.36,0.2,0.6,0.072,5.0,87.0,0.9928,3.38,0.64,10.5,6
6.9,0.57,0.27,7.8,0.041,7.0,87.0,0.9941,3.32,0.53,10.1,6
5.7,0.24,0.3,13.6,0.035,11.0,22.0,0.9937,3.28,0.48,11.0,6
7.0,0.26,0.36,14.5,0.033,21.0,109.0,0.9879,3.32,0.49,13.1,9
7.3,0.45,0.46,0.6,0.028,22.0,238.0,0.9924,3.29,0.74,9.9,6
9.2,0.09,0.26,4.4,0.129,1.0,6.0,0.9979,3.02,0.45,12.0,7
7.0,0.8,0.36,0.6,0.034,22.0,6.0,1.0008,3.43,0.63,11.2,7
8.6,0.34,0.34,4.6,0.094,16.0,119.0,0.9976,3.23,0.45,10.1,6
9.1,0.36,0.23,9.1,0.062,44.0,158.0,0.9959,3.61,0.4,11.3,6
9.1,0.54,0.33,4.2,0.044,15.0,40.0,0.9906,3.66,0.47,12.4,6
7.5,0.51,0.46,11.1,0.063,48.0,128.0,0.9953,3.18,0.63,10.6,5
4.7,0.34,0.35,8.7,0.065,61.0,107.0,0.995,3.25,0.69,11.6,6
7.7,0.39,0.35,1.7,0.01,51.0,82.0,1.0017,3.15,0.56,10.6,5
8.6,0.09,0.22,5.4,0.053,13.0,137.0,0.9895,3.07,0.52,14.6,6
7.3,0.19,0.64,0.6,0.056,41.0,59.0,0.9909,3.21,0.64,11.5,8
9.3,0.48,0.2,2.7,0.044,13.0,173.0,0.9983,3.23,0.49,12.8,4
8.4,0.41,0.07,1.5,0.01,16.0,8.0,0.9993,3.01,0.48,12.3,6
7.8,0.59,0.43,14.9,0.044,16.0,111.0,0.9957,3.04,0.38,10.1,4
8.6,0.35,0.29,2.8,0.112,32.0,122.0,0.9936,2.74,0.69,9.7,5
7.8,0.08,0.29,5.7,0.075,16.0,106.0,0.9964,3.03,0.47,10.9,7
4.0,0.5,0.24,7.1,0.019,31.0,87.0,1.0012,3.36,0.39,11.5,6
6.5,0.59,0.59,8.0,0.087,52.0,151.0,0.9928,3.45,0.49,10.9,5
8.7,0.51,0.36,7.2,0.017,11.0,93.0,0.9961,2.9,0.66,9.2,5
6.2,0.31,0.4,1.8,0.065,2.0,30.0,0.9941,3.01,0.65,11.0,6
6.8,0.53,0.34,6.3,0.066,19.0,77.0,0.9958,3.42,0.5,9.3,5
5.9,0.88,0.36,4.3,0.043,56.0,121.0,0.997,3.08,0.47,12.4,6
9.6,0.35,0.53,4.9,0.092,43.0,85.0,0.9929,3.15,0.87,9.2,6
9.3,0.15,0.27,0.6,0.082,15.0,97.0,0.9976,3.11,0.41,8.7,5
6.3,0.18,0.12,1.6,0.029,13.0,159.0,0.9932,3.37,0.56,11.5,8
7.4,0.43,0.45,14.4,0.046,36.0,82.0,0.9964,3.49,0.44,10.0,6
6.2,0.14,0.38,1.9,0.026,31.0,110.0,0.9889,3.23,0.65,10.4,4
8.0,0.36,0.34,3.1,0.036,42.0,105.0,0.997,3.15,0.67,12.2,6
7.8,0.43,0.38,1.1,0.079,10.0,176.0,0.992,3.18,0.37,12.4,5
8.4,0.55,0.28,0.8,0.056,30.0,118.0,0.9932,3.36,0.58,9.2,7
7.6,0.57,0.31,1.3,0.092,46.0,161.0,0.9879,3.3,0.22,9.9,5
11.1,0.47,0.3,4.4,0.01,51.0,75.0,0.994,3.18,0.56,11.5,6
5.9,0.08,0.23,13.6,0.066,9.0,215.0,0.9987,3.21,0.22,11.9,6
5.1,0.45,0.51,2.1,0.085,30.0,163.0,0.99,3.11,0.6,9.0,7
6.6,0.48,0.1,2.1,0.06,25.0,209.0,0.9953,3.11,0.48,9.7,5
5.2,0.38,0.68,4.5,0.01,16.0,127.0,0.9886,3.0,0.33,12.8,6
5.2,0.09,0.44,2.4,0.019,17.0,81.0,0.9942,3.4,0.61,9.8,5
5.8,0.24,0.05,13.0,0.088,40.0,103.0,0.9973,2.86,0.53,11.3,5
6.1,0.12,0.3,2.6,0.037,18.0,128.0,0.9944,3.26,0.41,12.5,7
6.0,0.08,0.3,3.6,0.029,28.0,127.0,0.997,3.22,0.64,11.9,6
7.8,0.36,0.37,4.1,0.044,39.0,93.0,0.9932,3.2,0.51,10.2,5
6.7,0.18,0.18,8.2,0.047,62.0,115.0,1.0025,3.12,0.61,12.4,7
7.2,0.69,0.35,4.5,0.098,37.0,130.0,0.998,3.17,0.51,10.9,8
8.5,0.28,0.31,1.5,0.01,44.0,70.0,0.9953,3.5,0.52,8.6,7
6.0,0.6,0.19,0.7,0.076,34.0,95.0,0.9998,3.23,0.75,8.0,4
6.8,0.11,0.18,15.0,0.107,26.0,191.0,0.9989,3.25,0.44,9.9,5
7.8,0.22,0.47,8.7,0.089,27.0,184.0,0.9931,3.25,0.59,11.4,7
4.6,0.38,0.06,0.6,0.137,28.0,71.0,0.9962,3.11,0.57,9.3,5
4.1,0.19,0.39,9.3,0.04,1.0,223.0,0.9938,3.13,0.36,11.3,6
7.7,0.27,0.44,4.8,0.087,25.0,71.0,0.9975,3.3,0.58,9.3,6
7.8,0.33,0.28,4.0,0.053,38.0,139.0,0.9994,3.09,0.28,11.2,5
9.9,0.3,0.33,0.6,0.038,18.0,191.0,0.9903,3.2,0.84,12.2,6
7.1,0.72,0.47,8.2,0.01,55.0,71.0,0.9951,3.41,0.72,10.2,3
8.2,0.43,0.21,1.2,0.04,32.0,52.0,0.9991,3.11,0.23,8.8,5
7.0,0.41,0.23,7.0,0.093,28.0,143.0,0.997,3.2,0.7,9.6,6
7.5,0.45,0.24,0.6,0.01,45.0,112.0,0.996,3.18,0.54,10.1,5
9.5,0.4,0.51,8.6,0.129,41.0,96.0,0.9979,3.3,0.32,11.4,7
4.4,0.35,0.51,0.6,0.07,50.0,39.0,0.9907,3.24,0.25,10.3,5
7.7,0.31,0.1,1.5,0.017,54.0,190.0,0.9964,3.11,0.52,8.6,5
10.0,0.36,0.47,1.7,0.064,57.0,130.0,0.9984,3.13,0.78,11.9,6
7.7,0.49,0.45,0.9,0.08,39.0,155.0,0.9964,3.12,0.9,12.8,7
9.3,0.54,0.54,3.5,0.039,12.0,182.0,0.991,3.1,0.57,10.8,5
6.5,0.27,0.39,1.8,0.034,27.0,18.0,0.9936,2.94,0.39,11.0,7
7.2,0.46,0.32,27.0,0.125,60.0,126.0,0.9947,3.25,0.81,9.1,6
7.2,0.33,0.48,4.7,0.044,35.0,30.0,0.9922,3.11,0.38,8.0,5
4.4,0.34,0.43,4.5,0.051,23.0,158.0,0.992,3.3,0.48,10.7,6
5.7,0.26,0.66,1.3,0.102,21.0,192.0,0.9962,3.23,0.63,11.0,6
5.7,0.34,0.46,2.8,0.053,11.0,111.0,0.9996,3.16,0.72,12.1,5
8.3,0.55,0.34,0.7,0.083,47.0,112.0,0.989,3.15,0.36,11.5,6
8.3,0.38,0.14,7.8,0.039,22.0,148.0,0.9933,3.01,0.52,12.2,5
7.7,0.36,0.23,2.2,0.032,13.0,143.0,0.9925,3.24,0.63,11.2,6
8.3,0.1,0.11,7.5,0.069,15.0,103.0,0.9992,3.21,0.22,12.0,6
7.1,0.26,0.3,2.5,0.022,1.0,156.0,0.9969,3.12,0.26,9.5,7
8.7,0.33,0.45,24.2,0.07,43.0,102.0,0.9989,2.9,0.28,11.1,5
7.4,0.14,0.34,1.0,0.024,27.0,133.0,0.9974,3.19,0.59,10.9,8
7.1,0.4,0.46,0.6,0.07,8.0,45.0,0.9982,3.2,0.6,10.2,4
6.9,0.27,0.37,4.9,0.099,55.0,181.0,0.9956,3.4,0.71,11.5,6
8.1,0.35,0.26,16.5,0.01,31.0,66.0,0.9961,3.23,0.58,10.2,6
6.7,0.35,0.33,5.6,0.042,1.0,134.0,0.9963,3.41,0.89,8.9,6
8.4,0.21,0.38,0.6,0.01,43.0,52.0,0.9948,3.12,0.62,10.1,5
5.8,0.27,0.34,4.2,0.046,13.0,91.0,0.9947,3.18,0.73,9.5,6
5.7,0.38,0.33,13.0,0.068,41.0,87.0,0.9961,3.06,0.67,11.4,5
8.0,0.55,0.2,0.6,0.044,39.0,145.0,0.996,3.18,0.56,11.5,5
7.2,0.35,0.27,1.0,0.01,34.0,199.0,0.9953,3.35,0.78,11.6,7
6.6,0.23,0.66,9.1,0.087,8.0,73.0,0.9952,3.36,0.63,12.2,6
